number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
0,0.9729433492229549,2023-09-04 02:35:53.853341,2023-09-04 02:37:45.849882,0 days 00:01:51.996541,0.005,7,41,100,36.40365767478943,0.8320246537526449,0.9729433492229549,0.9688929931578776,0.9767099217422319,0.973227132768755,3.5962783712055186,0.2930142461965851,0.003197550411265286,COMPLETE
1,0.9724878339407882,2023-09-04 02:35:53.885346,2023-09-04 02:37:00.266093,0 days 00:01:06.380747,0.005,4,31,100,21.602850437164307,0.416640837987264,0.9724878339407882,0.9667280905443321,0.9781814510207079,0.9725539602573248,3.3006277132121147,0.03309150572715785,0.004676048621628866,COMPLETE
2,0.9735132911110148,2023-09-04 02:35:53.949783,2023-09-04 02:41:31.708826,0 days 00:05:37.759043,0.01,5,31,500,110.30809728304546,2.197640816370646,0.9735132911110148,0.9680176240627427,0.9784353167026834,0.9740869325676182,3.906789662687265,0.24421041056736867,0.00427230448162885,COMPLETE
3,0.9758818280412261,2023-09-04 02:35:53.965350,2023-09-04 02:40:44.140589,0 days 00:04:50.175239,0.0025,4,51,500,95.4917094707489,1.1103639602661133,0.9758818280412261,0.9699475882280595,0.9798090237710594,0.9778888721245599,0.972021158990399,0.20445123456927305,0.004268734957534751,COMPLETE
4,0.9765869343432362,2023-09-04 02:35:53.977181,2023-09-04 02:38:29.101355,0 days 00:02:35.124174,0.0,3,31,300,50.281125704447426,1.3621825377146404,0.9765869343432362,0.9709020585233252,0.9790817825147389,0.9797769619916444,2.203501556705258,0.7179428892593415,0.004029820379961852,COMPLETE
5,0.9717652199067253,2023-09-04 02:35:54.069001,2023-09-04 02:37:42.056462,0 days 00:01:47.987461,0.01,6,1,100,35.54967578252157,0.3876172701517741,0.9717652199067253,0.9679942353357938,0.9758932505297611,0.9714081738546212,2.720060728921571,0.01913511099934779,0.0032346274047277755,COMPLETE
6,0.975751960049052,2023-09-04 02:35:54.072031,2023-09-04 02:41:31.230071,0 days 00:05:37.158040,0.0025,5,31,500,110.42931405703227,1.8407484690348308,0.975751960049052,0.9714428899846843,0.9792189434152277,0.976594046747244,2.0695534011967958,0.14779620825028236,0.003229920973658698,COMPLETE
7,0.9734387577774068,2023-09-04 02:35:54.075212,2023-09-04 02:40:55.051168,0 days 00:05:00.975956,0.005,7,31,300,99.23353290557861,0.9697135289510092,0.9734387577774068,0.9691967838135293,0.9776994209344775,0.9734200685842139,3.1698400265907587,0.3490250095881016,0.0034712122250580182,COMPLETE
8,0.9740160981081157,2023-09-04 02:37:00.320611,2023-09-04 02:38:30.158243,0 days 00:01:29.837632,0.005,7,51,100,29.311303933461506,0.6038983662923177,0.9740160981081157,0.9699772840274441,0.9786293875752679,0.9734416227216356,2.808301491777177,0.257917213998418,0.003555487817240631,COMPLETE
9,0.9721088365611233,2023-09-04 02:37:42.067463,2023-09-04 02:41:39.198401,0 days 00:03:57.130938,0.0,5,1,300,78.21217250823975,0.8161373933156332,0.9721088365611233,0.9671191290353438,0.9748581184566645,0.9743492621913618,2.9643017290275764,0.020771091926689682,0.0035343664749900323,COMPLETE
