number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
0,0.902151882503574,2023-09-03 22:20:27.190123,2023-09-03 22:26:35.936551,0 days 00:06:08.746428,0.01,8,11,300,121.98849439620972,0.89312744140625,0.902151882503574,0.8985155997587956,0.8972276838244018,0.9107123639275249,7.747117976882348,0.3262547054922828,0.006075967057233018,COMPLETE
1,0.9031689896717986,2023-09-03 22:20:27.199129,2023-09-03 22:24:08.601699,0 days 00:03:41.402570,0.01,6,41,300,72.85879627863567,0.9108697573343912,0.9031689896717986,0.8957106442954373,0.9008518800744931,0.9129444446454653,1.8323691997747031,0.5146435901045886,0.007223928584484571,COMPLETE
2,0.9046014988286775,2023-09-03 22:20:27.207121,2023-09-03 22:28:31.746219,0 days 00:08:04.539098,0.0075,8,41,500,160.2070196469625,1.268150011698405,0.9046014988286775,0.9023007718893823,0.898712075164262,0.9127916494323884,8.766907547875373,0.27796877197758624,0.005973754332066304,COMPLETE
3,0.9031701897566694,2023-09-03 22:20:27.216121,2023-09-03 22:26:32.067219,0 days 00:06:04.851098,0.01,7,1,300,120.6228175163269,0.952843189239502,0.9031701897566694,0.8997602880137874,0.898556086632587,0.9111941946236339,6.990033210593008,0.19683420340710348,0.0056950865267306585,COMPLETE
4,0.9038561663153382,2023-09-03 22:20:27.219124,2023-09-03 22:28:39.960490,0 days 00:08:12.741366,0.01,7,41,500,162.9983580907186,1.2115790843963623,0.9038561663153382,0.8998310021138468,0.9003322281173641,0.9114052687148035,15.91430622167537,0.26884804352291847,0.005341942041047178,COMPLETE
5,0.9037876043927944,2023-09-03 22:20:27.236658,2023-09-03 22:26:01.626261,0 days 00:05:34.389603,0.01,5,21,500,110.56204017003377,0.8738142649332682,0.9037876043927944,0.8969393060851616,0.9020481254189716,0.9123753816742499,4.3946722315510796,0.17673186923314832,0.006420667033016157,COMPLETE
6,0.9267437592049093,2023-09-03 22:20:27.242672,2023-09-03 22:21:33.539584,0 days 00:01:06.296912,0.0,4,11,100,21.665969371795654,0.38480981190999347,0.9267437592049093,0.9217918696567837,0.9240469286404793,0.9343924793174647,3.1767479141371084,0.013475449804466093,0.00548625629946593,COMPLETE
7,0.9060585944450127,2023-09-03 22:20:27.246678,2023-09-03 22:24:17.989547,0 days 00:03:50.742869,0.0075,5,21,300,75.72135718663533,1.1649312178293865,0.9060585944450127,0.898876922056495,0.9046925683064926,0.9146062929720505,2.5477280957111397,0.7480059214770169,0.006493730202183277,COMPLETE
8,0.9000141939269692,2023-09-03 22:21:33.556593,2023-09-03 22:23:08.274650,0 days 00:01:34.718057,0.0025,8,51,100,31.224221229553223,0.3357836405436198,0.9000141939269692,0.9009071537549515,0.8858857392915457,0.9132496887344108,1.2485585395356569,0.02150610352441921,0.011189115699902656,COMPLETE
9,0.913216413299176,2023-09-03 22:23:08.296196,2023-09-03 22:26:21.358445,0 days 00:03:13.062249,0.005,3,51,500,63.03508265813192,1.2818178335825603,0.913216413299176,0.901780820562448,0.9131591484266761,0.924709270908404,4.7710702870706285,0.7252597033921384,0.009360588238850505,COMPLETE
10,0.9104948583709418,2023-09-03 22:24:08.611697,2023-09-03 22:28:05.449831,0 days 00:03:56.838134,0.0025,6,41,300,78.24110857645671,0.6857590675354004,0.9104948583709418,0.9056491070439732,0.9064700479758612,0.9193654200929909,6.08269131983091,0.08896893118163311,0.006281381745652536,COMPLETE
11,0.9250472276176737,2023-09-03 22:24:18.000547,2023-09-03 22:30:26.313330,0 days 00:06:08.312783,0.0,5,51,500,121.58368515968323,1.1728943983713787,0.9250472276176737,0.9174290888164882,0.9228886292307891,0.9348239648057434,10.49629358836042,0.03888399611595774,0.007263611953534164,COMPLETE
12,0.9005929114294461,2023-09-03 22:26:01.658794,2023-09-03 22:27:32.008930,0 days 00:01:30.350136,0.01,6,31,100,29.713420550028484,0.388622522354126,0.9005929114294461,0.894906945239138,0.8978217031989977,0.9090500858502024,3.3398622907023103,0.06638512330261157,0.006097365708700937,COMPLETE
13,0.8979449828892774,2023-09-03 22:26:21.363979,2023-09-03 22:28:22.265106,0 days 00:02:00.901127,0.005,8,21,100,39.78784076372782,0.5015365282694498,0.8979449828892774,0.9015104926779149,0.8825259219938059,0.9097985339961112,1.7892040019937103,0.2194835730592288,0.011415880354334641,COMPLETE
14,0.909758171105859,2023-09-03 22:26:32.186764,2023-09-03 22:33:28.611100,0 days 00:06:56.424336,0.0025,8,1,300,137.01274784406027,1.7826958497365315,0.909758171105859,0.906859468745927,0.9032940033594736,0.9191210412121762,10.12107506963627,1.5107850940598386,0.006778674321051575,COMPLETE
15,0.9244045408034842,2023-09-03 22:26:35.948548,2023-09-03 22:30:45.493082,0 days 00:04:09.544534,0.0,3,41,500,80.90487400690715,2.2584630648295083,0.9244045408034842,0.9152191005464266,0.9232867996842747,0.9347077221797513,5.909965553277895,0.5482633477388446,0.007995357077658723,COMPLETE
16,0.8986915956301621,2023-09-03 22:27:32.015929,2023-09-03 22:29:08.039471,0 days 00:01:36.023542,0.01,7,41,100,31.334659099578857,0.6601871649424235,0.8986915956301621,0.8958336283381295,0.8922737256419007,0.9079674329104559,0.7586698208485971,0.45592492902853327,0.006718089745332948,COMPLETE
