number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__class_weight,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
0,0.9219908210440418,2023-09-05 03:12:26.928306,2023-09-05 03:17:46.238353,0 days 00:05:19.310047,0.001,balanced,3,31,600,104.37670524915059,2.0007874965667725,0.9219908210440418,0.9104478640237724,0.9222419815562333,0.9332826175521198,6.382853341659928,0.10695782993065443,0.00932394063248856,COMPLETE
1,0.9268680927426448,2023-09-05 03:12:26.951311,2023-09-05 03:24:34.700401,0 days 00:12:07.749090,0.0,balanced,5,21,900,238.9576567808787,3.5768582026163735,0.9268680927426448,0.9202532903167497,0.9243321425722589,0.9360188453389255,5.7337268488226805,0.853829600551685,0.0066813902614811654,COMPLETE
2,0.9238755735227686,2023-09-05 03:12:26.958310,2023-09-05 03:25:43.090796,0 days 00:13:16.132486,0.0,,3,1,1050,260.99545701344806,4.2939980030059814,0.9238755735227686,0.9149251002702102,0.9245732051609,0.9321284151371958,3.3537660363503283,0.24876668817984657,0.007040526875646594,COMPLETE
3,0.9156156697554225,2023-09-05 03:12:26.974324,2023-09-05 03:25:59.724735,0 days 00:13:32.750411,0.001,,4,6,900,268.32102060317993,2.549582004547119,0.9156156697554225,0.9082399384745063,0.9108571670738294,0.9277499037179318,6.173293735012149,0.06829147061341219,0.008646471217707397,COMPLETE
4,0.9141922937566654,2023-09-05 03:12:26.981852,2023-09-05 03:22:24.060980,0 days 00:09:57.079128,0.001,,4,11,750,196.45752024650574,2.499008893966675,0.9141922937566654,0.9082799383379826,0.9096662064571842,0.9246307364748296,6.500913682373648,0.6929584544634322,0.007402758477300846,COMPLETE
5,0.9270167026406307,2023-09-05 03:12:27.015850,2023-09-05 03:19:01.905745,0 days 00:06:34.889895,0.0,,3,6,600,129.06934324900308,2.456406513849894,0.9270167026406307,0.9186636266821049,0.9268912571608701,0.9354952240789172,5.061133259749942,0.2565491844943152,0.006872043371923122,COMPLETE
6,0.9223005020219541,2023-09-05 03:12:27.095392,2023-09-05 03:21:28.329087,0 days 00:09:01.233695,0.0005,balanced,3,21,900,176.79328799247742,3.5279115041097007,0.9223005020219541,0.9101856193452029,0.9228778233481406,0.9338380633725188,2.1510582123448594,0.6500981973518332,0.009664695272022478,COMPLETE
7,0.9138153931335978,2023-09-05 03:12:27.139392,2023-09-05 03:24:54.734947,0 days 00:12:27.595555,0.001,,4,21,900,245.47477587064108,3.6493780612945557,0.9138153931335978,0.907389874614432,0.9080478388790112,0.9260084659073505,4.419423942746578,0.46581923282599813,0.00862598774992895,COMPLETE
8,0.9269861549211624,2023-09-05 03:17:46.312879,2023-09-05 03:22:30.526201,0 days 00:04:44.213322,0.0,,3,6,450,92.50401043891907,2.2127556800842285,0.9269861549211624,0.9188288168359925,0.926740824731258,0.9353888231962366,2.5121890309576353,0.639010170687232,0.006762819571716637,COMPLETE
9,0.9261309308336015,2023-09-05 03:19:01.921743,2023-09-05 03:27:47.917505,0 days 00:08:45.995762,0.0,balanced,3,21,1050,171.83376955986023,3.480642398198446,0.9261309308336015,0.918851806288753,0.9238646396625817,0.9356763465494702,2.351995618823773,0.22162124039877856,0.007053053499490171,COMPLETE
