number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_max_features,params_min_samples_leaf,params_n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
0,0.9255430389315374,2023-09-04 16:59:31.825241,2023-09-04 17:01:31.392981,0 days 00:01:59.567740,0.0,balanced,8,31,100,39.432976166407265,0.2966163953145345,0.9255430389315374,0.9182700471857532,0.9240300905999261,0.934328979008933,1.993876186121333,0.03296512020398674,0.006642744528981871,COMPLETE
1,0.906667504127045,2023-09-04 16:59:31.876242,2023-09-04 17:04:34.919878,0 days 00:05:03.043636,0.01,balanced,4,1,400,100.38064074516296,0.5436755816141764,0.906667504127045,0.8992182410595503,0.9071120049715974,0.9136722663499871,1.790281066874629,0.040894025109418114,0.005909196083210908,COMPLETE
2,0.8800542188799249,2023-09-04 16:59:31.894261,2023-09-04 17:04:41.326951,0 days 00:05:09.432690,0.01,,3,1,400,102.33677196502686,0.7292283376057943,0.8800542188799249,0.876407328821749,0.8726498961430951,0.8911054316749307,1.7584052542600317,0.18992036912747506,0.007963523226312542,COMPLETE
3,0.9262041700768916,2023-09-04 16:59:31.942798,2023-09-04 17:05:32.837661,0 days 00:06:00.894863,0.0,balanced,7,31,300,119.13026547431946,1.1104711691538494,0.9262041700768916,0.9198139062265522,0.9234725395331225,0.9353260644710003,1.8506186660296955,0.6226131947102975,0.006620831640659612,COMPLETE
4,0.9054623750155727,2023-09-04 16:59:31.986808,2023-09-04 17:03:36.893154,0 days 00:04:04.906346,0.01,balanced,3,31,500,80.83426554997762,0.7558062871297201,0.9054623750155727,0.8978441634810752,0.9048297104129386,0.9137132511527042,2.071487270904786,0.11251327061793913,0.00649395535643372,COMPLETE
5,0.9053783902668653,2023-09-04 16:59:32.012344,2023-09-04 17:04:09.108140,0 days 00:04:37.095796,0.01,balanced,4,11,400,91.7167359193166,0.5683667659759521,0.9053783902668653,0.9015910389461169,0.9013591337935773,0.9131849980609017,2.988549214288956,0.04847360131103941,0.00552091713017416,COMPLETE
6,0.9191067484819165,2023-09-04 16:59:32.034350,2023-09-04 17:02:37.212406,0 days 00:03:05.178056,0.0025,balanced,3,11,300,61.13382808367411,0.49934840202331543,0.9191067484819165,0.9082069009026269,0.9209871904002693,0.9281261541428535,1.5829115642965204,0.017645849596190477,0.00823999226408589,COMPLETE
7,0.881776186713887,2023-09-04 16:59:32.050350,2023-09-04 17:05:27.240091,0 days 00:05:55.189741,0.005,,6,31,300,117.63009579976399,0.6603051026662191,0.881776186713887,0.8777337531012368,0.8762278606443015,0.8913669463961231,2.586249046157758,0.22996373260601485,0.00680949980956831,COMPLETE
8,0.905546691159607,2023-09-04 17:01:31.467541,2023-09-04 17:06:02.542489,0 days 00:04:31.074948,0.005,balanced,6,31,300,89.91948469479878,0.42999593416849774,0.905546691159607,0.9016174800467126,0.9021688165542296,0.9128537768778787,3.1356735291943933,0.014800383802786258,0.005171790099940141,COMPLETE
9,0.9161671357615493,2023-09-04 17:02:37.329448,2023-09-04 17:07:31.170594,0 days 00:04:53.841146,0.0025,balanced,4,21,400,97.29432209332784,0.640390952428182,0.9161671357615493,0.9093055584223577,0.9123232690448333,0.9268725798174571,1.0328561311970006,0.01734983263709734,0.007669486887481579,COMPLETE
10,0.9176787366950098,2023-09-04 17:03:36.998719,2023-09-04 17:06:38.344164,0 days 00:03:01.345445,0.0,balanced,5,1,200,60.048014402389526,0.38812677065531415,0.9176787366950098,0.9094333879463347,0.9154731645191423,0.9281296576195522,3.3703804353226925,0.011574037125435775,0.007790423026196516,COMPLETE
11,0.9264931218116764,2023-09-04 17:04:09.142143,2023-09-04 17:07:06.368590,0 days 00:02:57.226447,0.0,,5,21,200,58.65649573008219,0.4119856357574463,0.9264931218116764,0.9211601179381773,0.9222641523035215,0.9360550951933303,0.821210083759797,0.0386378820773341,0.006776342385267475,COMPLETE
12,0.910544784330737,2023-09-04 17:04:34.930880,2023-09-04 17:09:57.179577,0 days 00:05:22.248697,0.0025,balanced,5,11,400,106.87373940149944,0.5368272463480631,0.910544784330737,0.906856929810472,0.9043980781782026,0.9203793450035362,0.8659720641177379,0.012497324771836687,0.007026161852088069,COMPLETE
13,0.905835859304184,2023-09-04 17:04:41.340951,2023-09-04 17:05:52.419288,0 days 00:01:11.078337,0.005,balanced,4,41,100,23.515560229619343,0.16788593928019205,0.905835859304184,0.8977510680447635,0.9027871025656737,0.9169694073021148,0.5500017516592905,0.01368655797295381,0.008136638502912706,COMPLETE
14,0.8850670823297393,2023-09-04 17:05:27.310558,2023-09-04 17:14:29.021901,0 days 00:09:01.711343,0.005,,6,1,400,179.989222685496,0.5678651332855225,0.8850670823297393,0.8804995886206985,0.8782388295814878,0.8964628287870315,3.4363443785901393,0.07672532821947202,0.008110694004317584,COMPLETE
15,0.9261756048122316,2023-09-04 17:05:32.857661,2023-09-04 17:14:18.687563,0 days 00:08:45.829902,0.0,,6,41,500,174.1111845175425,1.1561164855957031,0.9261756048122316,0.9190052868559031,0.9235500446268464,0.935971482953945,3.3816790558938212,0.16631710560231186,0.00717091938431947,COMPLETE
16,0.8372567221012556,2023-09-04 17:05:52.424287,2023-09-04 17:07:39.201197,0 days 00:01:46.776910,0.01,,6,41,100,35.42589561144511,0.15623203913370767,0.8372567221012556,0.8309877370987083,0.8257146806214697,0.8550677485835882,0.2963784566922806,0.012984975470041852,0.012776952673174411,COMPLETE
17,0.9260343788891272,2023-09-04 17:06:02.550499,2023-09-04 17:09:56.168240,0 days 00:03:53.617741,0.0,,8,51,200,77.43109885851543,0.35611772537231445,0.9260343788891272,0.9174629750608696,0.9251526084154142,0.9354875531910978,1.0892192929445406,0.016071473430677267,0.0073848716337030955,COMPLETE
18,0.9259946726990872,2023-09-04 17:06:38.349164,2023-09-04 17:08:35.094248,0 days 00:01:56.745084,0.0,,8,51,100,38.69563174247742,0.18288564682006836,0.9259946726990872,0.9183370092613247,0.9244082353961446,0.9352387734397923,0.551662694536812,0.012523557033109358,0.0069907079075612515,COMPLETE
19,0.8968883074309076,2023-09-04 17:07:06.374594,2023-09-04 17:10:33.690335,0 days 00:03:27.315741,0.0025,,7,51,200,68.80481719970703,0.25225377082824707,0.8968883074309076,0.8955957470179742,0.8877258687007336,0.9073433065740153,0.27780171726323266,0.020421874228391215,0.008060769255839434,COMPLETE
20,0.9260343788891272,2023-09-04 17:07:31.177120,2023-09-04 17:11:55.683712,0 days 00:04:24.506592,0.0,,8,51,200,87.71286908785503,0.41214195887247723,0.9260343788891272,0.9174629750608696,0.9251526084154142,0.9354875531910978,3.4900548956888064,0.012027132391059613,0.0073848716337030955,COMPLETE
21,0.9260343788891272,2023-09-04 17:07:39.206198,2023-09-04 17:12:02.650868,0 days 00:04:23.444670,0.0,,8,51,200,87.36002731323242,0.4110103448232015,0.9260343788891272,0.9174629750608696,0.9251526084154142,0.9354875531910978,3.476040026264788,0.008164178611163989,0.0073848716337030955,COMPLETE
